iter	RMSE
0	2.342742782
1	2.273393697
2	2.210728691
3	2.149878728
4	2.095030148
5	2.040049619
6	1.993587845
7	1.947027391
8	1.904473017
9	1.863245559
10	1.824855527
11	1.789902539
12	1.759127733
13	1.729482947
14	1.700734229
15	1.673683813
16	1.647324802
17	1.624438516
18	1.60225517
19	1.585046171
20	1.56589339
21	1.548085433
22	1.530453513
23	1.514904643
24	1.501935001
25	1.487566076
26	1.473607044
27	1.461944086
28	1.451816368
29	1.441976438
30	1.433093372
31	1.423171773
32	1.415033977
33	1.406376643
34	1.398503639
35	1.392608353
36	1.385981748
37	1.380864002
38	1.375239694
39	1.370105783
40	1.364880778
41	1.358120136
42	1.353505827
43	1.348540521
44	1.344039929
45	1.339184963
46	1.33411385
47	1.329827804
48	1.326012132
49	1.322946744
50	1.319260911
51	1.315247339
52	1.312897134
53	1.310851808
54	1.308166178
55	1.304867382
56	1.302354741
57	1.299464532
58	1.294688401
59	1.291631684
60	1.28895032
61	1.286498618
62	1.283669638
63	1.281590513
64	1.278830869
65	1.277018672
66	1.274157786
67	1.271216348
68	1.26868031
69	1.266601579
70	1.265464876
71	1.262141869
72	1.260690002
73	1.258951395
74	1.255838929
75	1.254405436
76	1.252337901
77	1.250429128
78	1.248427087
79	1.246999551
80	1.245587747
81	1.24301371
82	1.240914797
83	1.23859612
84	1.235924028
85	1.233754485
86	1.232728353
87	1.23130295
88	1.229033485
89	1.226826468
90	1.224005313
91	1.222248684
92	1.220662127
93	1.219684594
94	1.218500121
95	1.215361787
96	1.214430079
97	1.211842438
98	1.20898588
99	1.207334731
100	1.205330972
101	1.202243264
102	1.200206463
103	1.198034871
104	1.197091125
105	1.195063212
106	1.192679265
107	1.190595556
108	1.185611396
109	1.184454901
110	1.182485448
111	1.179924759
112	1.176888543
113	1.175432565
114	1.173329875
115	1.170966351
116	1.169430371
117	1.166618466
118	1.165368372
119	1.161761757
120	1.159592379
121	1.157602841
122	1.156454494
123	1.155446595
124	1.154334044
125	1.152330539
126	1.149168125
127	1.146407143
128	1.142512011
129	1.139653975
130	1.138405696
131	1.137135725
132	1.13466628
133	1.132764046
134	1.130851016
135	1.129140138
136	1.126595358
137	1.123352021
138	1.120812765
139	1.118115284
140	1.11565409
141	1.11430683
142	1.113094624
143	1.110954379
144	1.109978796
145	1.108279464
146	1.106854836
147	1.106246006
148	1.104498114
149	1.103230165
150	1.101504202
151	1.099763431
152	1.096622141
153	1.094834975
154	1.093149924
155	1.091474492
156	1.09015973
157	1.087591207
158	1.08597195
159	1.083875883
160	1.082288702
161	1.07914275
162	1.077155606
163	1.074278081
164	1.07198107
165	1.068869181
166	1.068041152
167	1.06518397
168	1.063287961
169	1.060975669
170	1.059599922
171	1.056344521
172	1.054388223
173	1.052662076
174	1.050178508
175	1.04838633
176	1.045224842
177	1.043653984
178	1.040699574
179	1.038758946
180	1.035863378
181	1.033583653
182	1.031549253
183	1.029480934
184	1.027580473
185	1.025982596
186	1.023315295
187	1.021853785
188	1.018705911
189	1.016547656
190	1.014853768
191	1.012414711
192	1.010792242
193	1.009954623
194	1.007772968
195	1.006860418
196	1.003995349
197	1.001988393
198	1.000891387
199	0.9991532719
200	0.9983702865
201	0.9965129803
202	0.9945621339
203	0.9929867318
204	0.9904095626
205	0.9882910493
206	0.9866090157
207	0.9849019615
208	0.9829344661
209	0.9815291582
210	0.9796017574
211	0.9773768021
212	0.9753135152
213	0.9726742638
214	0.971227545
215	0.968770954
216	0.9665219066
217	0.964773765
218	0.9629051881
219	0.9603620605
220	0.9589996343
221	0.9577067938
222	0.9562494879
223	0.9541276664
224	0.951916695
225	0.9505033983
226	0.9481438591
227	0.9467108622
228	0.9445163785
229	0.9431869272
230	0.9415671053
231	0.9398455419
232	0.9379562927
233	0.9361107535
234	0.9351595663
235	0.9340540296
236	0.9319234674
237	0.9306050139
238	0.9283424237
239	0.9268247028
240	0.9246520552
241	0.9226235392
242	0.9208249425
243	0.9193424157
244	0.9183470509
245	0.9166471518
246	0.9157251875
247	0.9138541065
248	0.9122827823
249	0.9103221044
250	0.9083937882
251	0.9070341041
252	0.9056166167
253	0.9038261207
254	0.9028082789
255	0.9010265174
256	0.8997742472
257	0.8979556672
258	0.8959773457
259	0.8947200485
260	0.8937007478
261	0.8923869656
262	0.8912670264
263	0.8897487047
264	0.8886909
265	0.8873040577
266	0.8859494443
267	0.8846832784
268	0.8833360253
269	0.8817742082
270	0.880289769
271	0.8791013531
272	0.8776228303
273	0.8756910238
274	0.8742892206
275	0.8731260947
276	0.8714730446
277	0.8697919643
278	0.8688566451
279	0.8668525253
280	0.8662033379
281	0.8643185289
282	0.8630912476
283	0.8616482337
284	0.8602597576
285	0.8590338594
286	0.8576317595
287	0.8563850761
288	0.8552695369
289	0.8533701736
290	0.8519962447
291	0.8512432819
292	0.8497746617
293	0.8483981472
294	0.8475082719
295	0.8467134085
296	0.8455215845
297	0.8441858204
298	0.843263405
299	0.8425540825
300	0.8416803482
301	0.8404504438
302	0.8391283923
303	0.8379059703
304	0.8368791859
305	0.8356414288
306	0.8345489884
307	0.833697087
308	0.8322190914
309	0.831047092
310	0.829890865
311	0.8290335836
312	0.8280868527
313	0.8270105231
314	0.8259913702
315	0.8249046347
316	0.8236854842
317	0.8227656567
318	0.8214269588
319	0.8196754869
320	0.8184774811
321	0.8175876136
322	0.8157816569
323	0.8149077704
324	0.8139611451
325	0.8130365385
326	0.8117521825
327	0.8107355693
328	0.8089465692
329	0.8078550916
330	0.8068916234
331	0.8060772123
332	0.8043731137
333	0.8036369425
334	0.8023828352
335	0.8014702361
336	0.8001233215
337	0.7992063791
338	0.7981194293
339	0.7968344078
340	0.7957159548
341	0.7948046541
342	0.7937079381
343	0.7923496924
344	0.7907785285
345	0.7893096399
346	0.788031686
347	0.7870888452
348	0.7859929701
349	0.785104949
350	0.7835508398
351	0.7825899367
352	0.7810705894
353	0.7804774389
354	0.7794349964
355	0.7780135941
356	0.7772464086
357	0.7762653456
358	0.7755956597
359	0.774576166
360	0.7737084324
361	0.772456757
362	0.7716182851
363	0.7703867598
364	0.7692098391
365	0.7683425906
366	0.7672934659
367	0.766715405
368	0.7653777778
369	0.7639891895
370	0.7626804513
371	0.7619799108
372	0.7611747265
373	0.7599187183
374	0.7585999358
375	0.7572148473
376	0.7565049223
377	0.7553088926
378	0.7538982429
379	0.7529200467
380	0.7517055509
381	0.7508523649
382	0.7494815354
383	0.7489107375
384	0.7476012969
385	0.7468621733
386	0.7459058018
387	0.7449755972
388	0.7437582232
389	0.7429886698
390	0.7423780874
391	0.7416764182
392	0.7408490771
393	0.7401375603
394	0.7391167203
395	0.7380115282
396	0.7369748867
397	0.736376585
398	0.7356850862
399	0.7343716773
400	0.7334212065
401	0.7324094234
402	0.7315117236
403	0.7307521932
404	0.7296910211
405	0.7285554989
406	0.7278512974
407	0.7266430087
408	0.7260440692
409	0.7251617457
410	0.7246113476
411	0.723627047
412	0.7229679941
413	0.7222882096
414	0.7216161974
415	0.7211430377
416	0.7199770705
417	0.7190754635
418	0.7181691766
419	0.7172047903
420	0.7160004636
421	0.7149732021
422	0.7144337892
423	0.7134180237
424	0.7120629604
425	0.7109281233
426	0.7100883031
427	0.7094171363
428	0.7084462811
429	0.7080396079
430	0.7069610265
431	0.7063035159
432	0.7056898517
433	0.7041789147
434	0.7035095472
435	0.7020182907
436	0.7010124073
437	0.6998531051
438	0.6991174291
439	0.6983012098
440	0.6972757356
441	0.6964966111
442	0.6954143325
443	0.6944136047
444	0.693584428
445	0.692930561
446	0.6919850045
447	0.69130232
448	0.6904922905
449	0.6895609731
450	0.6886603617
451	0.6876982328
452	0.6869463749
453	0.6858562781
454	0.685008776
455	0.6838318147
456	0.6832139144
457	0.6826708574
458	0.6815631466
459	0.6808462152
460	0.680453696
461	0.6791561926
462	0.6783035276
463	0.6771843818
464	0.6767582292
465	0.6761811419
466	0.6754820931
467	0.6749370671
468	0.6745117379
469	0.6734193509
470	0.6729591823
471	0.6717600425
472	0.6710807515
473	0.6700327161
474	0.669467578
475	0.6685409822
476	0.667639111
477	0.6670983082
478	0.6664150235
479	0.6656209723
480	0.664733484
481	0.663765655
482	0.6629476914
483	0.6619831738
484	0.6615479975
485	0.6609557474
486	0.6599666712
487	0.6589964922
488	0.6579858912
489	0.6570891734
490	0.6559282049
491	0.6549188779
492	0.6541165686
493	0.6531518858
494	0.652279252
495	0.6515303545
496	0.6511946579
497	0.6501562534
498	0.6496911066
499	0.6488392014
