customer_state,PD,GP,PG,MMI,LC_norm,data_sparse,PD_norm,GP_norm,PG_norm,MMI_norm,EPS_score,EPS_rank,OPP_score,Risk_Adj,risk_penalty_pct,dominant_component,weakest_component,tier,state_display,contrib_PD,contrib_pct_PD,contrib_GP,contrib_pct_GP,contrib_PG,contrib_pct_PG,contrib_MMI,contrib_pct_MMI
AM,2.7564379215180885,0.3333333333333333,0.9265306122278801,2.0,0.5,True,0.1880114627900254,0.9615819188536664,0.9963410171178262,0.9999999996296296,99.99999967411172,1,0.7089436048658326,0.9,10.0,MMI,PD,TOP,Amazonas,0.06580401197650888,9.281981166349961,0.14423728782804995,20.34538243022772,0.2989023051353478,42.16164764901131,0.19999999992592593,28.210988613356065
PR,3.7968354375367372,0.012048192771084338,-0.3499999999935715,1.526315789473684,0.5,False,0.33753856953183,0.2765366545053237,0.8946212952086248,0.8245614032033788,65.96965674239142,2,0.5929176667152022,0.9,10.0,PG,GP,TOP,Paraná,0.11813849933614048,19.924941651913514,0.041480498175798554,6.995996313559508,0.2683863885625874,45.26537210415903,0.16491228064067576,27.81368976171048
AC,2.292038014267569,0.23076923076923078,0.9632653061047564,1.0,0.5,True,0.12126738330772889,0.7428943921578494,0.9992682033598176,0.6296296293964334,62.058937823721394,3,0.5795841298686144,0.9,10.0,PG,PD,TOP,Acre,0.04244358415770511,7.323110122786751,0.1114341588236774,19.22657175873201,0.29978046100794525,51.723372853336855,0.1259259258792867,21.726945092606886
SE,2.381818700281306,0.35135135135135137,0.8852040816163943,0.1666666666666667,0.5,True,0.13417076496160033,0.9999999978677966,0.9930479325955858,0.32098765420210335,56.042647144529056,4,0.559071678035826,0.9,10.0,GP,PD,TOP,Sergipe,0.04695976773656011,8.399596956430853,0.14999999968016947,26.830191065814528,0.29791437977867574,53.287331651722795,0.06419753084042067,11.482880147163886
MG,3.827219043459615,0.048414023372287146,-1.8836734693531572,1.1896551724137931,0.5,False,0.34190533571118104,0.3540760016218807,0.7724112696054833,0.6998722858199706,51.76177394668413,5,0.5444761057878346,0.9,10.0,PG,PD,TOP,Minas Gerais,0.11966686749891335,21.97835056617899,0.0531114002432821,9.754587865501684,0.23172338088164499,42.55896227452647,0.13997445716399412,25.708099110130068
SP,8.406188494556904,0.08239478363959692,-11.577040816113891,1.0451612903225804,0.5,False,0.9999999998562789,0.42652989369837,0.0,0.6463560332134164,51.40236036954465,6,0.5432506906471364,0.9,10.0,PD,PG,HIGH,São Paulo,0.3499999999496976,64.4269773294715,0.0639794840547555,11.777156483826955,0.0,0.0,0.1292712066426833,23.795866002624486
SC,2.814141611142276,0.030470914127423823,0.14591836734425861,1.272727272727273,0.5,False,0.19630470227299743,0.3158176433474586,0.9341383094755087,0.7306397303691233,51.16714611524068,7,0.5424487312141452,0.9,10.0,PG,PD,HIGH,Santa Catarina,0.0687066457955491,12.666016475899042,0.04737264650211879,8.733110373169286,0.2802414928426526,51.66230026914697,0.14612794607382468,26.938572697435493
TO,2.3184155764892935,0.2413793103448276,0.917346938758661,0.3999999999999999,0.5,True,0.12505839635917265,0.7655172397470719,0.9956092205573283,0.4074074072565157,50.08590977414147,8,0.5387622723062728,0.9,10.0,PG,PD,HIGH,Tocantins,0.043770438725710424,8.12425830359284,0.11482758596206077,21.313219512826613,0.29868276616719847,55.4386936439042,0.08148148145130314,15.123828354065722
RJ,4.077110692046701,0.05132192846034215,-2.104081632614415,0.5833333333333333,0.5,False,0.3778200458453957,0.36027624669471675,0.7548481521535348,0.4753086417992683,41.00311669828498,9,0.5077946270560101,0.9,10.0,PG,GP,HIGH,Rio de Janeiro,0.13223701604588847,26.041436584733358,0.054041437004207514,10.642380603964702,0.22645444564606043,44.59567571894092,0.09506172835985366,18.72050689543102
GO,2.4260510426554927,0.10497237569060773,0.5408163265206789,0.52,0.5,False,0.14052788719400916,0.47466991190110125,0.9656055615769163,0.45185185168449926,38.84521270418235,10,0.5004372861130432,0.9,10.0,PG,PD,HIGH,Goiás,0.0491847605179032,9.82835647632166,0.07120048678516519,14.22765421735687,0.2896816684730749,57.88570834603679,0.09037037033689986,18.058280760459443
PA,2.5799654828778102,0.2727272727272727,0.7107142857012319,-0.4,0.5,False,0.16264864447945337,0.8323574712606837,0.9791437979461266,0.11111111106995882,38.0558622924166,11,0.49774600785474094,0.9,10.0,PG,MMI,MID,Pará,0.056927025567808674,11.436962739046672,0.12485362068910255,25.083801470628973,0.29374313938383795,59.014664941203385,0.022222222213991765,4.4645706482152745
MT,2.244294350722073,0.2112676056338028,0.8025510203934226,-0.1538461538461538,0.5,False,0.11440561002848144,0.7013129610255461,0.9864617635511053,0.20227920220428405,33.33000737145307,12,0.4816332771699888,0.9,10.0,PG,PD,MID,Mato Grosso,0.040041963509968505,8.313786718000827,0.1051969441538319,21.84171005656786,0.2959385290653316,61.44478433670073,0.040455840440856816,8.399718681103725
DF,2.6303830732167786,0.1836734693877551,0.3341836734632497,-0.1568627450980392,0.5,False,0.1698947175392283,0.6424766503077293,0.9491401389657147,0.20116194618548103,33.08827068740535,13,0.4808090796116999,0.9,10.0,PG,PD,MID,Distrito Federal,0.0594631511387299,12.367310339288741,0.09637149754615938,20.043610121412982,0.2847420416897144,59.22143594448277,0.04023238923709621,8.367643386832741
RS,3.2680257906258365,0.008849557522123894,-0.3086734693820857,0.25,0.5,False,0.2615374494769404,0.2697165135992008,0.897914379730865,0.3518518517215363,30.428393482904337,14,0.471740268620376,0.9,10.0,PG,PD,MID,Rio Grande do Sul,0.09153810731692914,19.404344553962435,0.04045747703988012,8.576218662111993,0.2693743139192595,57.102251231601095,0.07037037034430726,14.917185340343423
ES,2.336963774214996,0.03333333333333333,0.5729591836629456,0.2692307692307691,0.5,False,0.1277241642973859,0.3219209032684014,0.9681668495386588,0.35897435884140544,25.587853109346188,15,0.455236519624224,0.9,10.0,PG,PD,MID,Espírito Santo,0.04470345750408506,9.819831116094841,0.04828813549026021,10.607263104473061,0.29045005486159764,63.80201097735527,0.07179487176828109,15.77089458241078
BA,2.821699219322086,0.1501416430594901,0.06785714285589647,-0.4605263157894737,0.5,False,0.1973908902613537,0.5709799766958402,0.927918038711277,0.08869395708216012,24.300706014953814,16,0.4508480111256649,0.9,10.0,PG,MMI,MID,Bahia,0.06908681159147378,15.323747634095636,0.08564699650437603,18.996866837798905,0.2783754116133831,61.74484618461431,0.017738791416432025,3.9345391216869086
AP,1.6368698251008258,0.14285714285714285,0.9632653061047564,0.0,0.5,True,0.027105870763696194,0.5554479407042918,0.9992682033598176,0.2592592591632373,22.420230599257586,17,0.44443655871353016,0.9,10.0,PG,PD,MID,Amapá,0.009487054767293668,2.134625192267874,0.08331719110564377,18.74670057732141,0.29978046100794525,67.4518003652027,0.051851851832647455,11.66687364020402
RO,2.1097568775368396,0.047619047619047616,0.9494897959009277,0.0,0.5,True,0.09506973234326357,0.3523809516296045,0.9981705085190707,0.2592592591632373,20.366546362566886,18,0.43743455345295157,0.9,10.0,PG,PD,MID,Rondônia,0.033274406320142245,7.606716474823226,0.05285714274444067,12.083440186965325,0.2994511525557212,68.45621808048745,0.051851851832647455,11.85362502911836
MS,2.3019583796214045,0.12195121951219512,0.7887755101895939,-0.4666666666666667,0.5,True,0.12269314942725704,0.510872260175702,0.9853640687103583,0.08641975305441241,18.909452067182837,19,0.4324666125498852,0.9,10.0,PG,MMI,LOW,Mato Grosso do Sul,0.04294260229953996,9.929691900849246,0.0766308390263553,17.71948090913517,0.29560922061310746,68.35422928642069,0.017283950610882483,3.996597672363157
RR,1.4482693684574173,0.2,0.9724489795739755,-0.3333333333333333,0.5,True,0.0,0.6772881341491043,0.9999999999203155,0.13580246908550522,17.820460969065437,20,0.4287537139155614,0.9,10.0,PG,PD,LOW,Roraima,0.0,0.0,0.10159322012236564,23.695006384346634,0.29999999997609467,69.9702392165107,0.027160493817101047,6.334754165908516
PE,2.4260839359062936,0.0,0.5729591836629456,-0.0967741935483871,0.5,False,0.1405326146491865,0.2508474570922608,0.9681668495386588,0.22341696526970214,15.824050180144155,21,0.4219469816065925,0.9,10.0,PG,PD,LOW,Pernambuco,0.04918641512721528,11.657013121260979,0.03762711856383912,8.917499144417684,0.29045005486159764,68.83567529440123,0.04468339305394043,10.589812202923499
AL,2.422630652068371,-0.1111111111111111,0.9265306122278801,0.25,0.5,False,0.14003630479348947,0.013935969838458946,0.9963410171178262,0.3518518517215363,15.363216931266003,22,0.42037577763314526,0.9,10.0,PG,GP,LOW,Alagoas,0.04901270667772131,11.659260397229941,0.002090395475768842,0.4972682970854737,0.2989023051353478,71.10359833462115,0.07037037034430726,16.739872733181013
PI,2.1596520258647,0.09433962264150944,0.8668367346779561,-0.7,0.5,True,0.10224071944679722,0.45199871985492285,0.9915843394745902,0.0,9.697722892789157,23,0.4010593616269945,0.9,10.0,PG,MMI,LOW,Piauí,0.03578425180637902,8.922432722175392,0.06779980797823842,16.905180204282043,0.2974753018423771,74.17238682420292,0.0,0.0
RN,1.639104722364256,-0.05555555555555555,0.9219387754932705,0.25,0.5,False,0.027427072724024518,0.13239171346535988,0.9959751188375773,0.3518518517215363,8.98259340071007,24,0.398621138468793,0.9,10.0,PG,PD,LOW,Rio Grande do Norte,0.009599475453408581,2.408170190422151,0.019858757019803983,4.98186248884542,0.2987925356512732,74.95652038159528,0.07037037034430726,17.65344668827238
MA,2.212921466719572,0.0,0.8530612244741275,-0.4,0.5,True,0.10989666368555673,0.2508474570922608,0.9904866446338433,0.11111111106995882,8.055188773905687,25,0.3954591664579287,0.9,10.0,PG,PD,LOW,Maranhão,0.03846383228994485,9.726372646055008,0.03762711856383912,9.514792337654459,0.29714599339015296,75.13948792747739,0.022222222213991765,5.619346835942523
CE,2.3321336592698874,-0.034482758620689655,0.678571428558965,-0.5833333333333333,0.5,False,0.12702997471902525,0.17732320242728783,0.9765825099843842,0.043209876527206224,1.3728107182818778,26,0.37267569981650855,0.9,10.0,PG,MMI,LOW,Ceará,0.044460491151658836,11.930075144220229,0.026598480364093173,7.137165182977482,0.2929747529953153,78.61385981254651,0.008641975305441245,2.3188995919259643
PB,2.116081562202064,-0.11764705882352941,0.8622448979433466,-0.1999999999999999,0.5,True,0.0959787231707929,0.0,0.9912184411943412,0.18518518511659807,0.0,27,0.3679951224913995,0.9,10.0,PG,GP,LOW,Paraíba,0.03359255310977751,9.128532136802244,0.0,0.0,0.2973655323583024,80.80692198771818,0.03703703702331961,10.064545603736843
