customer_state,year_week,revenue,order_count,item_count,unique_customers,avg_freight_value,avg_delivery_time,unique_sellers,category_diversity,avg_review_score,avg_installments,avg_order_value,late_delivery_rate,seller_customer_ratio,positive_review_rate,month_sin,month_cos,week_sin,week_cos,population,gdp_per_capita,purchasing_power_index,sales_per_capita,orders_per_capita,customer_penetration,penetration_gap,seller_density,revenue_growth_1w,revenue_growth_4w,order_growth_1w,revenue_lag_1,revenue_lag_2,revenue_lag_4,revenue_lag_8,orders_lag_1,customers_lag_1,revenue_rolling_4,revenue_rolling_8,revenue_rolling_12,revenue_ewm_4,revenue_ewm_8,target_next_revenue
AC,2017-03-27/2017-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,1.0,-1.6081226496766366e-16,829619,17204.211323511154,0.6329804434934224,0.0,0.0,0.0,-5.563258092431122e-07,0.0,0.0,-1.0,0.0,0.0,0.0,455.99,0.0,0.0,0.0,113.99750000000002,113.29875,124.66583333333334,63.32949932010774,101.15911143251016,493.49
AC,2017-04-03/2017-04-09,493.49,2.0,2.0,2.0,32.865,33.2614525462963,2.0,2.0,1.5,4.0,246.745,0.0,1.0,0.0,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,829619,17204.211323511154,0.6329804434934224,0.0005948393178073308,2.4107451733868195e-06,2.4107451733868195e-06,1.7219608381334426e-06,0.0024107451733868194,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,0.0,0.0,113.29875,124.66583333333334,37.964571235619715,77.78848415842766,0.0
AC,2017-04-10/2017-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.9709418174260521,-0.2393156642875575,829619,17204.211323511154,0.6329804434934224,0.0,0.0,0.0,-6.428653795698186e-07,0.0,-1.0,0.0,-1.0,493.49,0.0,0.0,59.699999999999996,2.0,2.0,123.37250000000002,172.3725,165.79,220.31764220113737,172.9889864713139,668.89
AC,2017-04-17/2017-04-23,668.89,3.0,3.0,3.0,41.13333333333333,21.143391203703704,3.0,2.0,4.333333333333333,6.333333333333333,222.96333333333334,0.0,1.0,0.6666666666666666,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,829619,17204.211323511154,0.6329804434934224,0.0008062616695133549,3.6161177600802297e-06,3.6161177600802297e-06,2.7874241067285104e-06,0.0036161177600802295,0.0,0.0,0.0,0.0,493.49,0.0,369.8,0.0,0.0,123.37250000000002,164.91,116.65666666666668,132.14912981004372,133.63964879182052,0.0
AC,2017-04-24/2017-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,829619,17204.211323511154,0.6329804434934224,0.0,0.0,0.0,-7.799469678604416e-07,0.0,-1.0,0.0,-1.0,668.89,0.0,0.0,455.99,3.0,3.0,290.595,202.29625,172.3975,346.9060631772679,254.75633456127167,828.09
AC,2017-05-01/2017-05-07,828.09,2.0,2.0,2.0,38.254999999999995,21.11921875,2.0,2.0,4.0,1.0,414.045,0.0,1.0,1.0,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,829619,17204.211323511154,0.6329804434934224,0.0009981569853149458,2.4107451733868195e-06,2.4107451733868195e-06,1.5401983052193567e-06,0.0024107451733868194,0.0,0.678,0.0,0.0,668.89,493.49,0.0,0.0,0.0,290.595,145.2975,172.3975,208.12014608681758,197.3429547919255,951.9
AC,2017-05-08/2017-05-14,951.9,3.0,3.0,3.0,30.733333333333334,14.846523919753087,3.0,2.0,5.0,7.666666666666667,317.3,0.0,1.0,1.0,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,829619,17204.211323511154,0.6329804434934224,0.0011473941652734567,3.6161177600802297e-06,3.6161177600802297e-06,2.6010671607594636e-06,0.0036161177600802295,0.1495,0.0,0.5,828.09,0.0,0.0,0.0,2.0,2.0,374.245,248.80875,239.66333333333333,456.133275854803,339.0463396976577,0.0
AC,2017-05-15/2017-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,829619,17204.211323511154,0.6329804434934224,0.0,0.0,0.0,-9.642980693547278e-07,0.0,-1.0,-1.0,-1.0,951.9,828.09,668.89,0.0,3.0,3.0,612.22,367.79625,314.0133333333334,654.4520502605629,476.39503177428566,62.9
AC,2017-05-22/2017-05-28,62.9,2.0,2.0,2.0,34.79,24.54732060185185,2.0,1.0,4.0,1.0,31.45,0.0,1.0,0.5,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,829619,17204.211323511154,0.6329804434934224,7.581793570301547e-05,2.4107451733868195e-06,2.4107451733868195e-06,1.377568670506754e-06,0.0024107451733868194,0.0,0.0,0.0,0.0,951.9,0.0,0.0,0.0,0.0,444.99750000000006,367.79625,283.19666666666666,392.6616586848409,369.8300700972621,179.9
AC,2017-05-29/2017-06-04,179.9,1.0,1.0,1.0,39.05,23.873784722222222,1.0,1.0,2.0,4.0,179.9,0.0,1.0,0.0,1.2246467991473532e-16,-1.0,0.46472317204376906,-0.8854560256532096,829619,17204.211323511154,0.6329804434934224,0.00021684652834614445,1.2053725866934098e-06,1.2053725866934098e-06,1.6436898909455568e-07,0.0012053725866934097,1.8601,-0.7828,-0.5,62.9,0.0,828.09,493.49,2.0,2.0,460.7225,375.65875,250.43916666666667,260.7541015613348,301.27343006227005,119.99
AC,2017-05-29/2017-06-04,119.99,1.0,1.0,1.0,47.37,14.01329861111111,1.0,1.0,5.0,1.0,119.99,0.0,1.0,1.0,1.2246467991473532e-16,-1.0,0.46472317204376906,-0.8854560256532096,829619,17204.211323511154,0.6329804434934224,0.00014463265667734223,1.2053725866934098e-06,1.2053725866934098e-06,1.572225113078361e-07,0.0012053725866934097,-0.333,-0.8739,0.0,179.9,62.9,951.9,0.0,1.0,1.0,298.675,336.46,265.43083333333334,228.41203524501344,274.19404383671,0.0
AC,2017-06-05/2017-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,829619,17204.211323511154,0.6329804434934224,0.0,0.0,0.0,-1.0044771555778415e-06,0.0,-1.0,0.0,-1.0,119.99,179.9,0.0,668.89,1.0,1.0,90.6975,351.45875,275.43,185.04287864767093,239.8203325407973,189.9
AC,2017-06-12/2017-06-18,189.9,1.0,1.0,1.0,26.36,30.923773148148147,1.0,1.0,5.0,10.0,189.9,0.0,1.0,1.0,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,829619,17204.211323511154,0.6329804434934224,0.00022890025421307855,1.2053725866934098e-06,1.2053725866934098e-06,1.9285961387094555e-07,0.0012053725866934097,0.0,2.0191,0.0,0.0,119.99,62.9,0.0,0.0,0.0,90.6975,267.84749999999997,275.43,111.02537646545152,186.39861824940178,75.89
AC,2017-06-19/2017-06-25,75.89,2.0,2.0,2.0,25.38,14.91421875,2.0,2.0,4.5,6.0,37.945,0.0,1.0,1.0,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,829619,17204.211323511154,0.6329804434934224,9.147572560416287e-05,2.4107451733868195e-06,2.4107451733868195e-06,1.3444540390041878e-06,0.0024107451733868194,-0.6004,-0.5782,1.0,189.9,0.0,179.9,828.09,1.0,1.0,122.4475,291.585,291.255,142.57531557665655,187.1781593037569,0.0
AC,2017-06-26/2017-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-3.216245299353273e-16,-1.0,829619,17204.211323511154,0.6329804434934224,0.0,0.0,0.0,-1.026798870146238e-06,0.0,-1.0,-1.0,-1.0,75.89,189.9,119.99,951.9,2.0,2.0,96.445,197.56,256.455,115.90114384473081,162.41147304905098,300.0
AC,2017-07-03/2017-07-09,300.0,1.0,1.0,1.0,61.27,25.23008101851852,1.0,1.0,5.0,3.0,300.0,0.0,1.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.12053668025532283,-0.992708874098054,829619,17204.211323511154,0.6329804434934224,0.00036161177600802294,1.2053725866934098e-06,1.2053725866934098e-06,1.7219608381334422e-07,0.0012053725866934097,0.0,0.0,0.0,0.0,75.89,0.0,0.0,0.0,0.0,66.44749999999999,78.5725,256.455,69.54063885730811,126.27920316550087,119.9
AC,2017-07-10/2017-07-16,119.9,1.0,1.0,1.0,27.69,16.042349537037037,1.0,1.0,5.0,1.0,119.9,0.0,1.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521,829619,17204.211323511154,0.6329804434934224,0.00014452417314453984,1.2053725866934098e-06,1.2053725866934098e-06,1.662582878197807e-07,0.0012053725866934097,-0.6003,-0.3686,0.0,300.0,0.0,189.9,62.9,1.0,1.0,141.4475,116.07249999999999,225.71416666666667,161.72443992392442,164.91778533771176,88.89
AC,2017-07-17/2017-07-23,88.89,2.0,2.0,2.0,28.225,17.50269675925926,2.0,2.0,3.5,4.5,44.445,0.0,1.0,0.5,-0.4999999999999997,-0.8660254037844388,-0.3546048870425356,-0.9350162426854148,829619,17204.211323511154,0.6329804434934224,0.0001071455692311772,2.4107451733868195e-06,2.4107451733868195e-06,1.3259098453627507e-06,0.0024107451733868194,-0.2586,0.1713,1.0,119.9,300.0,75.89,179.9,1.0,1.0,123.94749999999999,123.1975,235.70583333333335,144.9946577901571,154.90698952912544,109.9
