model,RMSE,MAE
catboost,50.10847899320652,22.284766237285616
lightgbm,51.935183810218156,23.480656829625815
gradient_boosting,52.3276920225198,23.22554526192497
random_forest,53.367698402387305,23.925843867949773
xgboost,55.23333132705693,24.731244443244048
elastic_net,3809672.5882723927,466000.43053102447
ridge,9942046.887541316,1201996.3616857883
huber,262323614.33176413,23254181.621933196
